story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
a,1037,0,'professor_noev',0,'professor_noev',T
professor,2934,0,'professor_noev',1,'professor_noev',T
in,1999,0,'professor_noev',2,'professor_noev',T
the,1996,0,'professor_noev',3,'professor_noev',T
neuroscience,23700,0,'professor_noev',4,'professor_noev',T
department,2533,0,'professor_noev',5,'professor_noev',T
at,2012,0,'professor_noev',6,'professor_noev',T
co,2522,0,'professor_noev',7,'professor_noev',T
##rse,22573,0,'professor_noev',8,'professor_noev',T
##n,2078,0,'professor_noev',9,'professor_noev',T
university,2118,0,'professor_noev',10,'professor_noev',T
has,2038,0,'professor_noev',11,'professor_noev',T
been,2042,0,'professor_noev',12,'professor_noev',T
accused,5496,0,'professor_noev',13,'professor_noev',T
of,1997,0,'professor_noev',14,'professor_noev',T
sexual,4424,0,'professor_noev',15,'professor_noev',T
harassment,16011,0,'professor_noev',16,'professor_noev',T
.,1012,0,'professor_noev',17,'professor_noev',T
11,2340,0,'professor_noev',18,'professor_noev',T
women,2308,0,'professor_noev',19,'professor_noev',T
",",1010,0,'professor_noev',20,'professor_noev',T
all,2035,0,'professor_noev',21,'professor_noev',T
of,1997,0,'professor_noev',22,'professor_noev',T
them,2068,0,'professor_noev',23,'professor_noev',T
former,2280,0,'professor_noev',24,'professor_noev',T
graduate,4619,0,'professor_noev',25,'professor_noev',T
students,2493,0,'professor_noev',26,'professor_noev',T
in,1999,0,'professor_noev',27,'professor_noev',T
the,1996,0,'professor_noev',28,'professor_noev',T
department,2533,0,'professor_noev',29,'professor_noev',T
",",1010,0,'professor_noev',30,'professor_noev',T
have,2031,0,'professor_noev',31,'professor_noev',T
come,2272,0,'professor_noev',32,'professor_noev',T
forward,2830,0,'professor_noev',33,'professor_noev',T
with,2007,0,'professor_noev',34,'professor_noev',T
stories,3441,0,'professor_noev',35,'professor_noev',T
about,2055,0,'professor_noev',36,'professor_noev',T
prof,11268,0,'professor_noev',37,'professor_noev',T
.,1012,0,'professor_noev',38,'professor_noev',T
jim,3958,0,'professor_noev',39,'professor_noev',T
smith,3044,0,'professor_noev',40,'professor_noev',T
.,1012,0,'professor_noev',41,'professor_noev',T
the,1996,0,'professor_noev',42,'professor_noev',T
list,2862,0,'professor_noev',43,'professor_noev',T
of,1997,0,'professor_noev',44,'professor_noev',T
allegations,9989,0,'professor_noev',45,'professor_noev',T
against,2114,0,'professor_noev',46,'professor_noev',T
smith,3044,0,'professor_noev',47,'professor_noev',T
includes,2950,0,'professor_noev',48,'professor_noev',T
frequently,4703,0,'professor_noev',49,'professor_noev',T
commenting,15591,0,'professor_noev',50,'professor_noev',T
on,2006,0,'professor_noev',51,'professor_noev',T
women,2308,0,'professor_noev',52,'professor_noev',T
',1005,0,'professor_noev',53,'professor_noev',T
s,1055,0,'professor_noev',54,'professor_noev',T
appearance,3311,0,'professor_noev',55,'professor_noev',T
",",1010,0,'professor_noev',56,'professor_noev',T
forcing,6932,0,'professor_noev',57,'professor_noev',T
students,2493,0,'professor_noev',58,'professor_noev',T
to,2000,0,'professor_noev',59,'professor_noev',T
have,2031,0,'professor_noev',60,'professor_noev',T
meetings,6295,0,'professor_noev',61,'professor_noev',T
with,2007,0,'professor_noev',62,'professor_noev',T
him,2032,0,'professor_noev',63,'professor_noev',T
in,1999,0,'professor_noev',64,'professor_noev',T
his,2010,0,'professor_noev',65,'professor_noev',T
private,2797,0,'professor_noev',66,'professor_noev',T
home,2188,0,'professor_noev',67,'professor_noev',T
",",1010,0,'professor_noev',68,'professor_noev',T
and,1998,0,'professor_noev',69,'professor_noev',T
hosting,9936,0,'professor_noev',70,'professor_noev',T
several,2195,0,'professor_noev',71,'professor_noev',T
hot,2980,0,'professor_noev',72,'professor_noev',T
-,1011,0,'professor_noev',73,'professor_noev',T
tub,14366,0,'professor_noev',74,'professor_noev',T
parties,4243,0,'professor_noev',75,'professor_noev',T
that,2008,0,'professor_noev',76,'professor_noev',T
included,2443,0,'professor_noev',77,'professor_noev',T
nu,16371,0,'professor_noev',78,'professor_noev',T
##dity,25469,0,'professor_noev',79,'professor_noev',T
",",1010,0,'professor_noev',80,'professor_noev',T
which,2029,0,'professor_noev',81,'professor_noev',T
students,2493,0,'professor_noev',82,'professor_noev',T
were,2020,0,'professor_noev',83,'professor_noev',T
present,2556,0,'professor_noev',84,'professor_noev',T
at,2012,0,'professor_noev',85,'professor_noev',T
.,1012,0,'professor_noev',86,'professor_noev',T
witnesses,9390,0,'professor_noev',87,'professor_noev',T
also,2036,0,'professor_noev',88,'professor_noev',T
claim,4366,0,'professor_noev',89,'professor_noev',T
that,2008,0,'professor_noev',90,'professor_noev',T
it,2009,0,'professor_noev',91,'professor_noev',T
was,2001,0,'professor_noev',92,'professor_noev',T
well,2092,0,'professor_noev',93,'professor_noev',T
-,1011,0,'professor_noev',94,'professor_noev',T
known,2124,0,'professor_noev',95,'professor_noev',T
that,2008,0,'professor_noev',96,'professor_noev',T
smith,3044,0,'professor_noev',97,'professor_noev',T
engaged,5117,0,'professor_noev',98,'professor_noev',T
in,1999,0,'professor_noev',99,'professor_noev',T
a,1037,0,'professor_noev',100,'professor_noev',T
series,2186,0,'professor_noev',101,'professor_noev',T
of,1997,0,'professor_noev',102,'professor_noev',T
qui,21864,0,'professor_noev',103,'professor_noev',T
##d,2094,0,'professor_noev',104,'professor_noev',T
pro,4013,0,'professor_noev',105,'professor_noev',T
quo,22035,0,'professor_noev',106,'professor_noev',T
sexual,4424,0,'professor_noev',107,'professor_noev',T
relationships,6550,0,'professor_noev',108,'professor_noev',T
with,2007,0,'professor_noev',109,'professor_noev',T
his,2010,0,'professor_noev',110,'professor_noev',T
female,2931,0,'professor_noev',111,'professor_noev',T
graduate,4619,0,'professor_noev',112,'professor_noev',T
students,2493,0,'professor_noev',113,'professor_noev',T
.,1012,0,'professor_noev',114,'professor_noev',T
an,2019,0,'professor_noev',115,'professor_noev',T
independent,2981,0,'professor_noev',116,'professor_noev',T
investigation,4812,0,'professor_noev',117,'professor_noev',T
by,2011,0,'professor_noev',118,'professor_noev',T
an,2019,0,'professor_noev',119,'professor_noev',T
external,6327,0,'professor_noev',120,'professor_noev',T
law,2375,0,'professor_noev',121,'professor_noev',T
firm,3813,0,'professor_noev',122,'professor_noev',T
was,2001,0,'professor_noev',123,'professor_noev',T
commissioned,4837,0,'professor_noev',124,'professor_noev',T
.,1012,0,'professor_noev',125,'professor_noev',T
if,2065,0,'professor_noev',126,'professor_noev',T
found,2179,0,'professor_noev',127,'professor_noev',T
guilty,5905,0,'professor_noev',128,'professor_noev',T
of,1997,0,'professor_noev',129,'professor_noev',T
sexual,4424,0,'professor_noev',130,'professor_noev',T
harassment,16011,0,'professor_noev',131,'professor_noev',T
",",1010,0,'professor_noev',132,'professor_noev',T
smith,3044,0,'professor_noev',133,'professor_noev',T
may,2089,0,'professor_noev',134,'professor_noev',T
be,2022,0,'professor_noev',135,'professor_noev',T
suspended,6731,0,'professor_noev',136,'professor_noev',T
for,2005,0,'professor_noev',137,'professor_noev',T
an,2019,0,'professor_noev',138,'professor_noev',T
indefinite,25617,0,'professor_noev',139,'professor_noev',T
amount,3815,0,'professor_noev',140,'professor_noev',T
of,1997,0,'professor_noev',141,'professor_noev',T
time,2051,0,'professor_noev',142,'professor_noev',T
or,2030,0,'professor_noev',143,'professor_noev',T
even,2130,0,'professor_noev',144,'professor_noev',T
fired,5045,0,'professor_noev',145,'professor_noev',T
",",1010,0,'professor_noev',146,'professor_noev',T
a,1037,0,'professor_noev',147,'professor_noev',T
ra,10958,0,'professor_noev',148,'professor_noev',T
##rity,15780,0,'professor_noev',149,'professor_noev',T
for,2005,0,'professor_noev',150,'professor_noev',T
tenure,7470,0,'professor_noev',151,'professor_noev',T
##d,2094,0,'professor_noev',152,'professor_noev',T
professors,12655,0,'professor_noev',153,'professor_noev',T
.,1012,0,'professor_noev',154,'professor_noev',T
thanks,4283,1,'smuggler_noev',0,'smuggler_noev',F
to,2000,1,'smuggler_noev',1,'smuggler_noev',F
a,1037,1,'smuggler_noev',2,'smuggler_noev',F
routine,9410,1,'smuggler_noev',3,'smuggler_noev',F
cargo,6636,1,'smuggler_noev',4,'smuggler_noev',F
vessel,6258,1,'smuggler_noev',5,'smuggler_noev',F
check,4638,1,'smuggler_noev',6,'smuggler_noev',F
",",1010,1,'smuggler_noev',7,'smuggler_noev',F
the,1996,1,'smuggler_noev',8,'smuggler_noev',F
indonesian,9003,1,'smuggler_noev',9,'smuggler_noev',F
police,2610,1,'smuggler_noev',10,'smuggler_noev',F
were,2020,1,'smuggler_noev',11,'smuggler_noev',F
able,2583,1,'smuggler_noev',12,'smuggler_noev',F
to,2000,1,'smuggler_noev',13,'smuggler_noev',F
prevent,4652,1,'smuggler_noev',14,'smuggler_noev',F
a,1037,1,'smuggler_noev',15,'smuggler_noev',F
smuggling,19535,1,'smuggler_noev',16,'smuggler_noev',F
attempt,3535,1,'smuggler_noev',17,'smuggler_noev',F
.,1012,1,'smuggler_noev',18,'smuggler_noev',F
they,2027,1,'smuggler_noev',19,'smuggler_noev',F
found,2179,1,'smuggler_noev',20,'smuggler_noev',F
150,5018,1,'smuggler_noev',21,'smuggler_noev',F
exotic,12564,1,'smuggler_noev',22,'smuggler_noev',F
birds,5055,1,'smuggler_noev',23,'smuggler_noev',F
stuffed,11812,1,'smuggler_noev',24,'smuggler_noev',F
into,2046,1,'smuggler_noev',25,'smuggler_noev',F
plastic,6081,1,'smuggler_noev',26,'smuggler_noev',F
drain,12475,1,'smuggler_noev',27,'smuggler_noev',F
pipes,12432,1,'smuggler_noev',28,'smuggler_noev',F
that,2008,1,'smuggler_noev',29,'smuggler_noev',F
were,2020,1,'smuggler_noev',30,'smuggler_noev',F
sealed,10203,1,'smuggler_noev',31,'smuggler_noev',F
at,2012,1,'smuggler_noev',32,'smuggler_noev',F
each,2169,1,'smuggler_noev',33,'smuggler_noev',F
end,2203,1,'smuggler_noev',34,'smuggler_noev',F
by,2011,1,'smuggler_noev',35,'smuggler_noev',F
a,1037,1,'smuggler_noev',36,'smuggler_noev',F
wire,7318,1,'smuggler_noev',37,'smuggler_noev',F
.,1012,1,'smuggler_noev',38,'smuggler_noev',F
the,1996,1,'smuggler_noev',39,'smuggler_noev',F
animals,4176,1,'smuggler_noev',40,'smuggler_noev',F
were,2020,1,'smuggler_noev',41,'smuggler_noev',F
meant,3214,1,'smuggler_noev',42,'smuggler_noev',F
to,2000,1,'smuggler_noev',43,'smuggler_noev',F
be,2022,1,'smuggler_noev',44,'smuggler_noev',F
transported,9687,1,'smuggler_noev',45,'smuggler_noev',F
to,2000,1,'smuggler_noev',46,'smuggler_noev',F
the,1996,1,'smuggler_noev',47,'smuggler_noev',F
us,2149,1,'smuggler_noev',48,'smuggler_noev',F
",",1010,1,'smuggler_noev',49,'smuggler_noev',F
where,2073,1,'smuggler_noev',50,'smuggler_noev',F
they,2027,1,'smuggler_noev',51,'smuggler_noev',F
were,2020,1,'smuggler_noev',52,'smuggler_noev',F
to,2000,1,'smuggler_noev',53,'smuggler_noev',F
be,2022,1,'smuggler_noev',54,'smuggler_noev',F
sold,2853,1,'smuggler_noev',55,'smuggler_noev',F
as,2004,1,'smuggler_noev',56,'smuggler_noev',F
pets,18551,1,'smuggler_noev',57,'smuggler_noev',F
.,1012,1,'smuggler_noev',58,'smuggler_noev',F
the,1996,1,'smuggler_noev',59,'smuggler_noev',F
operation,3169,1,'smuggler_noev',60,'smuggler_noev',F
was,2001,1,'smuggler_noev',61,'smuggler_noev',F
planned,3740,1,'smuggler_noev',62,'smuggler_noev',F
and,1998,1,'smuggler_noev',63,'smuggler_noev',F
executed,6472,1,'smuggler_noev',64,'smuggler_noev',F
by,2011,1,'smuggler_noev',65,'smuggler_noev',F
a,1037,1,'smuggler_noev',66,'smuggler_noev',F
wildlife,6870,1,'smuggler_noev',67,'smuggler_noev',F
trafficking,11626,1,'smuggler_noev',68,'smuggler_noev',F
ring,3614,1,'smuggler_noev',69,'smuggler_noev',F
.,1012,1,'smuggler_noev',70,'smuggler_noev',F
this,2023,1,'smuggler_noev',71,'smuggler_noev',F
delivery,6959,1,'smuggler_noev',72,'smuggler_noev',F
would,2052,1,'smuggler_noev',73,'smuggler_noev',F
have,2031,1,'smuggler_noev',74,'smuggler_noev',F
been,2042,1,'smuggler_noev',75,'smuggler_noev',F
worth,4276,1,'smuggler_noev',76,'smuggler_noev',F
$,1002,1,'smuggler_noev',77,'smuggler_noev',F
250,5539,1,'smuggler_noev',78,'smuggler_noev',F
",",1010,1,'smuggler_noev',79,'smuggler_noev',F
000,2199,1,'smuggler_noev',80,'smuggler_noev',F
.,1012,1,'smuggler_noev',81,'smuggler_noev',F
one,2028,1,'smuggler_noev',82,'smuggler_noev',F
week,2733,1,'smuggler_noev',83,'smuggler_noev',F
after,2044,1,'smuggler_noev',84,'smuggler_noev',F
discovering,13648,1,'smuggler_noev',85,'smuggler_noev',F
the,1996,1,'smuggler_noev',86,'smuggler_noev',F
illegally,17800,1,'smuggler_noev',87,'smuggler_noev',F
captured,4110,1,'smuggler_noev',88,'smuggler_noev',F
birds,5055,1,'smuggler_noev',89,'smuggler_noev',F
",",1010,1,'smuggler_noev',90,'smuggler_noev',F
the,1996,1,'smuggler_noev',91,'smuggler_noev',F
police,2610,1,'smuggler_noev',92,'smuggler_noev',F
arrested,4727,1,'smuggler_noev',93,'smuggler_noev',F
four,2176,1,'smuggler_noev',94,'smuggler_noev',F
men,2273,1,'smuggler_noev',95,'smuggler_noev',F
who,2040,1,'smuggler_noev',96,'smuggler_noev',F
attempted,4692,1,'smuggler_noev',97,'smuggler_noev',F
to,2000,1,'smuggler_noev',98,'smuggler_noev',F
commit,10797,1,'smuggler_noev',99,'smuggler_noev',F
the,1996,1,'smuggler_noev',100,'smuggler_noev',F
smuggling,19535,1,'smuggler_noev',101,'smuggler_noev',F
.,1012,1,'smuggler_noev',102,'smuggler_noev',F
the,1996,1,'smuggler_noev',103,'smuggler_noev',F
men,2273,1,'smuggler_noev',104,'smuggler_noev',F
face,2227,1,'smuggler_noev',105,'smuggler_noev',F
five,2274,1,'smuggler_noev',106,'smuggler_noev',F
years,2086,1,'smuggler_noev',107,'smuggler_noev',F
in,1999,1,'smuggler_noev',108,'smuggler_noev',F
prison,3827,1,'smuggler_noev',109,'smuggler_noev',F
and,1998,1,'smuggler_noev',110,'smuggler_noev',F
a,1037,1,'smuggler_noev',111,'smuggler_noev',F
fine,2986,1,'smuggler_noev',112,'smuggler_noev',F
of,1997,1,'smuggler_noev',113,'smuggler_noev',F
$,1002,1,'smuggler_noev',114,'smuggler_noev',F
800,5385,1,'smuggler_noev',115,'smuggler_noev',F
##0,2692,1,'smuggler_noev',116,'smuggler_noev',F
.,1012,1,'smuggler_noev',117,'smuggler_noev',F
a,1037,2,'professor_noev',0,'professor_noev',F
professor,2934,2,'professor_noev',1,'professor_noev',F
in,1999,2,'professor_noev',2,'professor_noev',F
the,1996,2,'professor_noev',3,'professor_noev',F
neuroscience,23700,2,'professor_noev',4,'professor_noev',F
department,2533,2,'professor_noev',5,'professor_noev',F
at,2012,2,'professor_noev',6,'professor_noev',F
co,2522,2,'professor_noev',7,'professor_noev',F
##rse,22573,2,'professor_noev',8,'professor_noev',F
##n,2078,2,'professor_noev',9,'professor_noev',F
university,2118,2,'professor_noev',10,'professor_noev',F
has,2038,2,'professor_noev',11,'professor_noev',F
been,2042,2,'professor_noev',12,'professor_noev',F
accused,5496,2,'professor_noev',13,'professor_noev',F
of,1997,2,'professor_noev',14,'professor_noev',F
sexual,4424,2,'professor_noev',15,'professor_noev',F
harassment,16011,2,'professor_noev',16,'professor_noev',F
.,1012,2,'professor_noev',17,'professor_noev',F
11,2340,2,'professor_noev',18,'professor_noev',F
women,2308,2,'professor_noev',19,'professor_noev',F
",",1010,2,'professor_noev',20,'professor_noev',F
all,2035,2,'professor_noev',21,'professor_noev',F
of,1997,2,'professor_noev',22,'professor_noev',F
them,2068,2,'professor_noev',23,'professor_noev',F
former,2280,2,'professor_noev',24,'professor_noev',F
graduate,4619,2,'professor_noev',25,'professor_noev',F
students,2493,2,'professor_noev',26,'professor_noev',F
in,1999,2,'professor_noev',27,'professor_noev',F
the,1996,2,'professor_noev',28,'professor_noev',F
department,2533,2,'professor_noev',29,'professor_noev',F
",",1010,2,'professor_noev',30,'professor_noev',F
have,2031,2,'professor_noev',31,'professor_noev',F
come,2272,2,'professor_noev',32,'professor_noev',F
forward,2830,2,'professor_noev',33,'professor_noev',F
with,2007,2,'professor_noev',34,'professor_noev',F
stories,3441,2,'professor_noev',35,'professor_noev',F
about,2055,2,'professor_noev',36,'professor_noev',F
prof,11268,2,'professor_noev',37,'professor_noev',F
.,1012,2,'professor_noev',38,'professor_noev',F
jim,3958,2,'professor_noev',39,'professor_noev',F
smith,3044,2,'professor_noev',40,'professor_noev',F
.,1012,2,'professor_noev',41,'professor_noev',F
smith,3044,2,'professor_noev',42,'professor_noev',F
had,2018,2,'professor_noev',43,'professor_noev',F
frequently,4703,2,'professor_noev',44,'professor_noev',F
commented,7034,2,'professor_noev',45,'professor_noev',F
on,2006,2,'professor_noev',46,'professor_noev',F
women,2308,2,'professor_noev',47,'professor_noev',F
',1005,2,'professor_noev',48,'professor_noev',F
s,1055,2,'professor_noev',49,'professor_noev',F
appearance,3311,2,'professor_noev',50,'professor_noev',F
",",1010,2,'professor_noev',51,'professor_noev',F
forced,3140,2,'professor_noev',52,'professor_noev',F
students,2493,2,'professor_noev',53,'professor_noev',F
to,2000,2,'professor_noev',54,'professor_noev',F
have,2031,2,'professor_noev',55,'professor_noev',F
meetings,6295,2,'professor_noev',56,'professor_noev',F
with,2007,2,'professor_noev',57,'professor_noev',F
him,2032,2,'professor_noev',58,'professor_noev',F
in,1999,2,'professor_noev',59,'professor_noev',F
his,2010,2,'professor_noev',60,'professor_noev',F
private,2797,2,'professor_noev',61,'professor_noev',F
home,2188,2,'professor_noev',62,'professor_noev',F
",",1010,2,'professor_noev',63,'professor_noev',F
and,1998,2,'professor_noev',64,'professor_noev',F
